Unnamed: 0,script_name,method_name,label,is_mixed,num_req_sent,num_nodes,num_edges,nodes_div_by_edges,edges_div_by_nodes,in_degree,out_degree,in_out_degree,ancestor,descendants,closeness_centrality,in_degree_centrality,out_degree_centrality,is_anonymous,is_eval_or_external_function,descendant_of_eval_or_function,ascendant_script_has_eval_or_function,num_script_successors,num_script_predecessors,num_method_successors,num_method_predecessors,descendant_of_storage_node,ascendant_of_storage_node,is_initiator,immediate_method,storage_getter,storage_setter,cookie_getter,cookie_setter,getAttribute,setAttribute,addEventListener,removeAttribute,removeEventListener,sendBeacon,has_fingerprinting_eventlistner,descendant_of_fingerprinting,ascendant_of_fingerprinting,num_local,num_closure,num_global,num_script,website,js_file_path,method_calls_in_file,method_definition,method_code_neutralized
22,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,ms@483@53,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.0141700404858299,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.12.txt,"['ms(d)', 'ms(e)', 'ms(c.Nc)']",ms=function(a){return a&&hb(6)?(Array.isArray(a)?a:[a]).every(function(b){return Im(b)&&Gm(b)}):!0},"('ms=function(a){return a?Array.isArray(a)?a:[a]:[]}', '```json\n{\n  ""replacementCode"": ""ms=function(a){return a?Array.isArray(a)?a:[a]:[]}"",\n  ""changesSummary"": [\n    ""Removed the call to hb(6) which likely checks for a tracking-related condition."",\n    ""Removed the every function call that checks Im(b) and Gm(b), which are likely tracking-related functions."",\n    ""Preserved the array handling logic to maintain non-tracking behavior.""\n  ]\n}\n```')"
24,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,ks@476@1152,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.0141700404858299,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.12.txt,"['ks(r)', 'ks(b,g,!1,d)', 'ks(a,void 0,void 0,c)', 'ks(a,void 0,void 0,Jt.get(b))', 'ks(a,A.cookie,void 0,eu())', 'ks(g,A.cookie,void 0,eu())', 'ks(n,A.cookie,void 0,eu())', 'ks(c+g,A.cookie,void 0,eu())', 'ks(a,void 0,!!b)', 'ks(b,a,!!c)']","function ks(a,b,c,d){try{gs(""3"");var e;return(e=ls(function(f){return f===a},b,c,d)[a])!=null?e:[]}finally{hs(""3"")}}","('function ks(a,b,c,d){try{var e;return(e=ls(function(f){return f===a},b,c,d)[a])!=null?e:[]}finally{}}', '```json\n{\n  ""replacementCode"": ""function ks(a,b,c,d){try{var e;return(e=ls(function(f){return f===a},b,c,d)[a])!=null?e:[]}finally{}}"",\n  ""changesSummary"": [""Removed calls to gs(\'3\') and hs(\'3\') as they are likely used for tracking purposes.""]\n}\n```')"
26,https://www.googletagmanager.com/gtm.js?id=GTM-P9TRBRZ,js@476@1022,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.0141700404858299,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.12.txt,"['js(f)', 'js(window)', 'js(w)']","function js(a){return a.origin!==""null""}","('function js(a){return a.origin!==null}', '```json\n{\n  ""replacementCode"": ""function js(a){return a.origin!==null}"",\n  ""changesSummary"": [""Replaced string comparison with null comparison to remove potential tracking behavior related to origin checking.""]\n}\n```')"
36,https://cdn.dynamicyield.com/api/8784964/api_static.js,p@1@254648,0,0,0,495,2053,0.2411105698977107,4.147474747474748,2,0,6.147474747474748,5,0,0.0046006624953993,0.0040485829959514,0.0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['p(t)', 'p(e)', 'p(""C"",void 0,void 0)', 'p(""E"",void 0,e)', 'p(""N"",e,void 0)', 'p()', 'p(this.#s,this.#i)', 'p(e,t)', 'p(e,s,location.hostname)', 'p(e,r,location.hostname)']","function p(e,t,r){var n=(0,c.T)(e)||t||r?{next:e,error:t,complete:r}:e;return n?(0,l.N)(function(e,t){null==(r=n.subscribe)||r.call(n);var r,i=!0;e.subscribe((0,u._)(t,function(e){var r;null==(r=n.next)||r.call(n,e),t.next(e)},function(){var e;i=!1,null==(e=n.complete)||e.call(n),t.complete()},function(e){var r;i=!1,null==(r=n.error)||r.call(n,e),t.error(e)},function(){var e,t;i&&(null==(e=n.unsubscribe)||e.call(n)),null==(t=n.finalize)||t.call(n)}))}):d.D}","('function p(e,t,r){var n=(0,c.T)(e)||t||r?{next:e,error:t,complete:r}:e;return n?(0,l.N)(function(e,t){var r,i=!0;e.subscribe((0,u._)(t,function(e){t.next(e)},function(){i=!1;t.complete()},function(e){i=!1;t.error(e)},function(){}))}):d.D}', '```json\n{\n  ""replacementCode"": ""function p(e,t,r){var n=(0,c.T)(e)||t||r?{next:e,error:t,complete:r}:e;return n?(0,l.N)(function(e,t){var r,i=!0;e.subscribe((0,u._)(t,function(e){t.next(e)},function(){i=!1;t.complete()},function(e){i=!1;t.error(e)},function(){}))}):d.D}"",\n  ""changesSummary"": [\n    ""Removed calls to n.subscribe, n.next, n.complete, n.error, n.unsubscribe, and n.finalize to eliminate tracking behavior."",\n    ""Preserved the subscription logic and the invocation of t.next, t.complete, and t.error to maintain non-tracking behavior.""\n  ]\n}\n```')"
50,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.get@1@145977,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.0141700404858299,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['get(t)', 'get(e)', 'get(t,[i.eL.LOCAL])', 'get(e,t)', 'get(e,t,r)', 'get(t.key,t.storages,t.options)', 'get(e.key,[i.eL.MEMORY],e.options)', 'get(e,[o.eL.COOKIE,o.eL.LOCAL,o.eL.SESSION,o.eL.MEMORY],{domain:t})', 'get(e,[o.eL.COOKIE])', 'get(e.selectParameter,t||[""cookieStorage""])']","get=function(e,t){return T(e).dispatch(""get"",[t])}","('get=function(e,t){return null}', '```json\n{\n  ""replacementCode"": ""get=function(e,t){return null}"",\n  ""changesSummary"": [""Replaced the dispatch call with null to remove potential tracking behavior while preserving the function signature.""]\n}\n```')"
52,https://cdn.dynamicyield.com/api/8784964/api_static.js,d@1@127002,0,0,0,495,2053,0.2411105698977107,4.147474747474748,7,0,11.14747474747475,176,0,0.0845073496513417,0.0141700404858299,0.0,0,0,0,0,0,10,0,75,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['d(t,{mr:()=>s,Mi:()=>p,cP:()=>n.c})', 'd(t,{c:()=>d})', 'd(t,{B:()=>l})', 'd(t,{Ms:()=>D,vU:()=>m})', 'd(e)', 'd(t,{Kn:()=>c,Uv:()=>l,yU:()=>s})', 'd(t,{$:()=>n})', 'd(t,{Tg:()=>m})', 'd(t,{_:()=>i})', 'd(t,{p:()=>o})']","function d(e){return p(""N"",e,void 0)}","('function d(e){return null}', '```json\n{\n  ""replacementCode"": ""function d(e){return null}"",\n  ""changesSummary"": [""Replaced the call to function \'p\' with \'null\' as it likely represents a tracking call, and its return value is not used for non-tracking purposes.""]\n}\n```')"
56,https://cdn.dynamicyield.com/api/8784964/api_static.js,Function.get@1@128699,0,0,0,495,2053,0.2411105698977107,4.147474747474748,9,0,13.14747474747475,178,0,0.086206521265944,0.0182186234817813,0.0,0,0,0,0,0,10,0,75,0,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['get(t)', 'get(e)', 'get(t,[i.eL.LOCAL])', 'get(e,t)', 'get(e,t,r)', 'get(t.key,t.storages,t.options)', 'get(e.key,[i.eL.MEMORY],e.options)', 'get(e,[o.eL.COOKIE,o.eL.LOCAL,o.eL.SESSION,o.eL.MEMORY],{domain:t})', 'get(e,[o.eL.COOKIE])', 'get(e.selectParameter,t||[""cookieStorage""])']","get=function(e,t){return T(e).dispatch(""get"",[t])}","('get=function(e,t){return null}', '```json\n{\n  ""replacementCode"": ""get=function(e,t){return null}"",\n  ""changesSummary"": [""Replaced the dispatch call with null to remove potential tracking behavior while preserving the function signature.""]\n}\n```')"
60,https://cdn.dynamicyield.com/api/8784964/api_static.js,Function.getDyid@1@113169,0,0,0,495,2053,0.2411105698977107,4.147474747474748,8,0,12.14747474747475,177,0,0.0853553544281035,0.0161943319838056,0.0,0,0,0,0,0,10,0,75,0,9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['getDyid()', '_src_harmony_utils_DYID_js__WEBPACK_IMPORTED_MODULE_2__.A.getDyid()', 's.A.getDyid()', 's.getDyid()', 'el.A.getDyid()']",getDyid:function(){return el.A.getDyid()},"('getDyid:function(){return null}', '```json\n{\n  ""replacementCode"": ""getDyid:function(){return null}"",\n  ""changesSummary"": [""Replaced the call to el.A.getDyid() with null to remove potential tracking behavior.""]\n}\n```')"
62,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.init@1@155256,0,0,0,495,2053,0.2411105698977107,4.147474747474748,8,0,12.14747474747475,177,0,0.0853553544281035,0.0161943319838056,0.0,0,0,0,0,0,10,0,75,0,9,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['init(DYO.section)', 'init()', 'init(DY.antiFlicker)', 'init(n)', 'init(e)', 'init(e,t)', 'init(t.id,t.smartTag)', 'DYO.StorageUtilsInternal.init(DYO.section)', 'DYO.ActiveConsent.init()', 'DYO.csc.init()']","init=function(){c(),l(),s(""firstPV""),DY.API(""sub"",{on:""dy-event"",callback:function(e,t,r){DYO.csc.markEvent(""lastEvent_""+t)}})}","('init=function(){c(),l()}', '```json\n{\n  ""replacementCode"": ""init=function(){c(),l()}"",\n  ""changesSummary"": [\n    ""Removed the call to s(\'firstPV\') as it likely triggers a tracking event."",\n    ""Removed the DY.API call with the \'dy-event\' subscription and callback as it involves marking events, which is tracking behavior.""\n  ]\n}\n```')"
64,https://cdn.dynamicyield.com/api/8784964/api_static.js,Object.setupServerExperiments@1@63428,0,0,0,495,2053,0.2411105698977107,4.147474747474748,9,0,13.14747474747475,178,0,0.086206521265944,0.0182186234817813,0.0,0,0,0,0,0,10,0,75,0,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hp.com,./output/hp.com/response/5232.50.txt,"['setupServerExperiments()', 'window.DYO.setupServerExperiments()']","function setupServerExperiments(){if(!DYO.URLUtils.isUrlContains(""dy_disable=true"")&&(DYO.logBlock.info(function(){return""DYO setupServerExperiments started""},""flow""),""undefined""!=typeof DYExps&&void 0!==DYExps.oexps)){DYO.section=DYExps.section,DYO.oexps=experiments=DYExps.oexps,DYO.sectionFeatures=DYExps.sectionFeatures||{},DYO.hooks=DYExps.hooks||{},DYO.otags=smartTags=DYExps.otags,DYO.oevals=DYExps.oevals,DYO.dynamicVariablesV0=DYExps.dynamicVariablesV0,DYO.smartVariableExperimentsMapV1=DYExps.smartVariableExperimentsMapV1,DYO.smartVariableExperimentsV1=DYExps.smartVariableExperimentsV1,DYO.rcom=rcom=DYExps.rcom,DYO.translations=translations=DYExps.translations,DYO.sectionConfig=DYExps.sectionConfig,DYO.hosts=DYExps.hosts||{st:""st.dynamicyield.com"",px:""px.dynamicyield.com"",rcom:""rcom.dynamicyield.com"",pii:""opt.%s.dynamicyield.com"",link:""link.dynamicyield.com"",metadata:""https://gw.metadata.dynamicyield.com"",cdn:""cdn.dynamicyield.com"",clientLogs:""client-logs.dev-use1.dynamicyield.com/logs/client""},DYO.logConfig=DYExps.logsConfiguration||{percentage:0,level:_src_harmony_logger_Logger_js__WEBPACK_IMPORTED_MODULE_0__.M.NONE},DYO.StorageUtilsInternal.init(DYO.section),DYO.ActiveConsent.init(),DYO.SessionUtils.setHybridSession(),_src_harmony_st_STLoader_js__WEBPACK_IMPORTED_MODULE_1__.A.getState(),setPreviewCookie(),DYO.ready=!0,DYO.setupTime=new Date().getTime(),DYO.chosenVariations={},DYO._ready&&DYO._ready();try{if(window.location.search.indexOf(""dyIsPreview=true"")>-1||""dy_preview_session""===window.name||window.location.search.indexOf(""dyPreview"")>-1){var e=new XMLHttpRequest;e.onreadystatechange=function(){4===e.readyState&&200===e.status&&(DYO.CoreUtils.safeEval(e.response),execAndEmbed())},e.open(""GET"",""//""+DYO.hosts.cdn+""/dy-preview/dy_preview.js"",!1),e.send()}else execAndEmbed();DYO.PerformanceData&&(DYO.PerformanceData.postData({type:""static"",timestamp:DYO.apiStaticArrivalTime}),checkIfLandingPage())}catch(e){DYO.logBlock.error(function(){return e+""was caught in setupServerExperiments""},""exception""),execAndEmbed()}}}","('function setupServerExperiments(){if(!DYO.URLUtils.isUrlContains(""dy_disable=true"")&&(DYO.logBlock.info(function(){return""DYO setupServerExperiments started""},""flow""),""undefined""!=typeof DYExps&&void 0!==DYExps.oexps)){DYO.section=DYExps.section,DYO.oexps=experiments=DYExps.oexps,DYO.sectionFeatures=DYExps.sectionFeatures||{},DYO.hooks=DYExps.hooks||{},DYO.otags=smartTags=DYExps.otags,DYO.oevals=DYExps.oevals,DYO.dynamicVariablesV0=DYExps.dynamicVariablesV0,DYO.smartVariableExperimentsMapV1=DYExps.smartVariableExperimentsMapV1,DYO.smartVariableExperimentsV1=DYExps.smartVariableExperimentsV1,DYO.rcom=rcom=DYExps.rcom,DYO.translations=translations=DYExps.translations,DYO.sectionConfig=DYExps.sectionConfig,DYO.hosts=DYExps.hosts||{st:""st.dynamicyield.com"",px:""px.dynamicyield.com"",rcom:""rcom.dynamicyield.com"",pii:""opt.%s.dynamicyield.com"",link:""link.dynamicyield.com"",metadata:""https://gw.metadata.dynamicyield.com"",cdn:""cdn.dynamicyield.com"",clientLogs:""client-logs.dev-use1.dynamicyield.com/logs/client""},DYO.logConfig=DYExps.logsConfiguration||{percentage:0,level:_src_harmony_logger_Logger_js__WEBPACK_IMPORTED_MODULE_0__.M.NONE},DYO.StorageUtilsInternal.init(DYO.section),DYO.ActiveConsent.init(),DYO.SessionUtils.setHybridSession(),_src_harmony_st_STLoader_js__WEBPACK_IMPORTED_MODULE_1__.A.getState(),setPreviewCookie(),DYO.ready=!0,DYO.setupTime=new Date().getTime(),DYO.chosenVariations={},DYO._ready&&DYO._ready();try{if(window.location.search.indexOf(""dyIsPreview=true"")>-1||""dy_preview_session""===window.name||window.location.search.indexOf(""dyPreview"")>-1){execAndEmbed()}else execAndEmbed();}catch(e){execAndEmbed()}}}', '```json\n{\n  ""replacementCode"": ""function setupServerExperiments(){if(!DYO.URLUtils.isUrlContains(\\""dy_disable=true\\"")&&(DYO.logBlock.info(function(){return\\""DYO setupServerExperiments started\\""},\\""flow\\""),\\""undefined\\""!=typeof DYExps&&void 0!==DYExps.oexps)){DYO.section=DYExps.section,DYO.oexps=experiments=DYExps.oexps,DYO.sectionFeatures=DYExps.sectionFeatures||{},DYO.hooks=DYExps.hooks||{},DYO.otags=smartTags=DYExps.otags,DYO.oevals=DYExps.oevals,DYO.dynamicVariablesV0=DYExps.dynamicVariablesV0,DYO.smartVariableExperimentsMapV1=DYExps.smartVariableExperimentsMapV1,DYO.smartVariableExperimentsV1=DYExps.smartVariableExperimentsV1,DYO.rcom=rcom=DYExps.rcom,DYO.translations=translations=DYExps.translations,DYO.sectionConfig=DYExps.sectionConfig,DYO.hosts=DYExps.hosts||{st:\\""st.dynamicyield.com\\"",px:\\""px.dynamicyield.com\\"",rcom:\\""rcom.dynamicyield.com\\"",pii:\\""opt.%s.dynamicyield.com\\"",link:\\""link.dynamicyield.com\\"",metadata:\\""https://gw.metadata.dynamicyield.com\\"",cdn:\\""cdn.dynamicyield.com\\"",clientLogs:\\""client-logs.dev-use1.dynamicyield.com/logs/client\\""},DYO.logConfig=DYExps.logsConfiguration||{percentage:0,level:_src_harmony_logger_Logger_js__WEBPACK_IMPORTED_MODULE_0__.M.NONE},DYO.StorageUtilsInternal.init(DYO.section),DYO.ActiveConsent.init(),DYO.SessionUtils.setHybridSession(),_src_harmony_st_STLoader_js__WEBPACK_IMPORTED_MODULE_1__.A.getState(),setPreviewCookie(),DYO.ready=!0,DYO.setupTime=new Date().getTime(),DYO.chosenVariations={},DYO._ready&&DYO._ready();try{if(window.location.search.indexOf(\\""dyIsPreview=true\\"")>-1||\\""dy_preview_session\\""===window.name||window.location.search.indexOf(\\""dyPreview\\"")>-1){execAndEmbed()}else execAndEmbed();}catch(e){execAndEmbed()}}}"",\n  ""changesSummary"": [\n    ""Removed XMLHttpRequest to load external script for preview mode to prevent tracking."",\n    ""Removed DYO.PerformanceData.postData call to prevent data transmission."",\n    ""Removed error logging to prevent potential data leakage.""\n  ]\n}\n```')"
